Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2019 [YR2019]
"Hong Kong SAR, China",HKG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,195.89760161449,177.651315174364
Hungary,HUN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,87.4348841373907,81.065700696964
Iceland,ISL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,51.3347744437234,44.7138622775299
India,IND,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,19.8131891564045,18.664264897257
Indonesia,IDN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,21.1601792598059,18.5915277970883
"Iran, Islamic Rep.",IRN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,18.7208345068656,22.3147082096412
Iraq,IRQ,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,34.5141464410956,38.0518681988838
Ireland,IRL,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,126.687521960845,131.224509342169
Isle of Man,IMN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Israel,ISR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,30.8618661959764,28.9810422486608
Italy,ITA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,29.144111052532,30.9498739181942
Jamaica,JAM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Japan,JPN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,17.4367598376529,17.4635264275221
Jordan,JOR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,36.5444370225267,36.3349404358171
Kazakhstan,KAZ,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,28.5167080072354,36.4389870990994
Kenya,KEN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,15.1287339034504,11.4279956869332
Kiribati,KIR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,13.9574518328745,14.9824049433267
"Korea, Dem. People's Rep.",PRK,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
"Korea, Rep.",KOR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,40.9681314540182,37.0413266370488
Kosovo,XKX,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,22.4513928552736,29.3126074591152
Kuwait,KWT,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,53.7653724505163,52.0582560763879
Kyrgyz Republic,KGZ,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,35.1896004872594,33.4764696600324
Lao PDR,LAO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,33.9522573081909,..
Latvia,LVA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,62.5955625575744,62.5368430163073
Lebanon,LBN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,23.1396677268024,20.6977589567577
Lesotho,LSO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,42.8918037123102,46.2093281781161
Liberia,LBR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Libya,LBY,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,22.2273741215145,42.35532240076
Liechtenstein,LIE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..
Lithuania,LTU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,68.6043807818409,76.8187229886379
Luxembourg,LUX,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,191.835449041844,206.580145839872
"Macao SAR, China",MAC,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,78.704970614381,82.646781315937
Madagascar,MDG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,28.3906461296836,28.4244012431975
Malawi,MWI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,12.9894565946906
Malaysia,MYS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,69.4486908970754,65.2777668428576
Maldives,MDV,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,76.4277887724561,65.5134179400092
Mali,MLI,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,20.2239475938187,21.7272254994959
Malta,MLT,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,108.732583735564,124.520039894382
